callID,callDurationInSeconds,agentsGradeLevel,callType,callEndedByAgent
ageentsGradeLevel,97,A,Inbound,False
2,64,E,inbound,True
3,100,C,inbound,False
4,69,D,Outbound,True
5,96,D,Inbound,True
6,120,A,inbound,True
7,88,C,Inbound,True
8,108,D,Inbound,True
9,145,C,Inbound,True
10,128,F,inbound,True
11,130,A,Outbound,True
12,109,D,inbound,True
13,148,F,Outbound,False
14,82,D,Inbound,True
15,60,F,inbound,True
16,132,A,Inbound,False
17,82,D,Inbound,True
18,70,A,Outbound,True
19,95,E,Outbound,True
20,67,F,Inbound,False
21,72,A,Outbound,True
22,125,E,Outbound,False
23,71,E,Outbound,True
24,94,A,Inbound,False
25,67,C,Inbound,True
26,75,C,Inbound,False
27,131,E,inbound,False
28,86,C,Inbound,False
29,77,F,Inbound,True
30,92,F,Outbound,True
31,142,A,Outbound,False
32,85,E,Inbound,False
33,90,F,Outbound,True
34,61,F,Outbound,True
35,105,E,inbound,True
36,67,F,Outbound,False
37,114,F,inbound,True
38,103,A,inbound,True
39,66,C,Inbound,True
40,133,A,Outbound,False
41,106,C,Inbound,True
42,64,F,Inbound,False
43,61,C,Inbound,False
44,91,D,inbound,True
45,95,C,inbound,True
46,115,C,Inbound,False
47,145,E,Outbound,True
48,136,E,Outbound,True
49,86,D,Outbound,True
50,102,F,Inbound,True
51,106,E,Inbound,True
52,139,E,inbound,True
53,113,C,Outbound,True
54,101,E,inbound,True
55,98,C,inbound,True
56,85,A,inbound,True
57,115,F,Inbound,True
58,106,A,Outbound,True
59,120,A,Outbound,True
60,114,E,Outbound,True
61,114,A,Inbound,True
62,107,F,Inbound,True
63,143,D,Inbound,False
64,128,A,inbound,True
65,64,C,Inbound,True
66,79,D,Outbound,True
67,137,E,inbound,True
68,90,E,inbound,False
69,110,D,inbound,False
70,143,C,Outbound,False
71,112,D,inbound,True
72,112,A,Inbound,True
73,108,D,Inbound,True
74,120,D,inbound,True
75,137,E,Outbound,True
76,65,E,Inbound,False
77,100,F,Inbound,True
78,139,A,Outbound,False
79,95,A,Outbound,False
80,96,D,Outbound,True
81,80,D,Outbound,False
82,114,C,Inbound,True
83,114,C,Inbound,False
84,108,E,Outbound,True
85,74,A,inbound,True
86,108,A,Outbound,False
87,109,E,inbound,True
88,118,E,Inbound,True
89,92,A,Inbound,True
90,101,F,Outbound,True
91,98,C,Inbound,True
92,128,A,Inbound,True
93,116,E,Outbound,True
94,137,E,inbound,False
95,115,C,inbound,True
96,139,D,Inbound,True
97,108,D,Outbound,True
98,100,E,Inbound,True
99,142,E,Inbound,False
100,120,A,Inbound,True
101,119,D,Outbound,False
102,138,C,Inbound,True
103,143,D,inbound,True
104,89,C,inbound,True
105,129,D,inbound,True
106,102,D,Inbound,False
107,136,A,Outbound,True
108,67,E,Outbound,True
109,114,E,Inbound,True
110,141,F,inbound,False
111,76,A,inbound,True
112,138,F,inbound,True
113,104,E,Outbound,True
114,86,D,Outbound,True
115,105,E,Inbound,True
116,80,A,Outbound,True
117,124,F,Inbound,False
118,107,F,Outbound,False
119,86,A,Outbound,True
120,108,C,Outbound,False
121,136,C,inbound,False
122,137,C,Inbound,False
123,113,E,inbound,True
124,148,A,inbound,False
125,124,E,Outbound,False
126,124,E,inbound,False
127,116,A,inbound,True
128,75,E,Outbound,True
129,126,C,Outbound,False
130,129,D,Outbound,False
131,118,A,Inbound,False
132,77,F,inbound,True
133,113,D,inbound,False
134,136,F,Inbound,True
135,102,E,inbound,True
136,115,F,Outbound,True
137,96,C,inbound,True
138,90,C,Inbound,True
139,126,A,Outbound,True
140,106,E,Inbound,True
141,102,C,Outbound,True
142,63,C,inbound,False
143,60,C,Inbound,False
144,69,A,Outbound,True
145,63,D,Inbound,True
146,106,E,Inbound,True
147,102,F,Outbound,True
148,80,D,Outbound,False
149,98,A,Inbound,True
150,117,F,Inbound,True
151,96,E,Inbound,False
152,93,E,Inbound,True
153,133,D,inbound,False
154,139,F,Inbound,True
155,75,D,Outbound,False
156,142,C,Inbound,False
157,73,A,inbound,False
158,76,D,inbound,True
159,74,C,inbound,True
160,84,D,Inbound,False
161,95,D,inbound,True
162,75,E,inbound,True
163,101,F,Inbound,True
164,80,C,inbound,True
165,145,C,inbound,False
166,78,C,inbound,True
167,118,E,Inbound,True
168,137,E,inbound,True
169,61,F,Outbound,False
170,135,F,inbound,False
171,138,D,inbound,False
172,105,E,Outbound,True
173,108,D,inbound,True
174,97,E,Outbound,True
175,99,D,Outbound,True
176,61,A,Outbound,True
177,81,C,Inbound,False
178,83,D,Outbound,True
179,127,A,Outbound,True
180,120,E,Inbound,True
181,83,A,inbound,False
182,88,F,inbound,True
183,74,E,Inbound,False
184,137,F,Outbound,True
185,98,F,inbound,True
186,82,A,inbound,True
187,128,E,Inbound,True
188,130,D,Outbound,True
189,74,E,Outbound,True
190,120,F,Outbound,False
191,86,E,Outbound,True
192,143,E,Outbound,True
193,76,C,Inbound,True
194,123,C,Inbound,False
195,135,F,Inbound,False
196,115,F,Outbound,False
197,126,A,Outbound,False
198,90,D,inbound,False
199,96,A,Outbound,False
200,79,D,Outbound,True
201,122,A,Outbound,True
202,143,D,Outbound,True
