id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours
1,CALLER_1,163,Billing discrepancy,122,closed,33
2,CALLER_2,133,Difficulty reaching customer support,0,new,0
3,CALLER_3,153,Wrong item received,122,resolved,0
4,CALLER_4,161,Unauthorized charges,151,pending,0
5,CALLER_5,148,Unprofessional behavior,0,new,0
6,CALLER_6,157,Inadequate product instructions,125,closed,18
7,CALLER_7,179,Unsatisfactory resolution,125,resolved,0
8,CALLER_8,171,Rude customer service representative,0,pending,0
9,CALLER_9,161,Website not working,161,new,0
10,CALLER_10,159,Product damaged during shipping,135,resolved,0
11,CALLER_11,147,Inadequate product instructions,133,closed,18
12,CALLER_12,143,Inaccurate information provided,122,pending,0
13,CALLER_13,124,Slow response time,132,resolved,0
14,CALLER_14,151,Unsatisfactory resolution,136,resolved,0
15,CALLER_15,171,Slow response time,0,new,0
16,CALLER_16,131,Difficulty getting a refund,169,pending,0
17,CALLER_17,179,Long wait time,155,closed,44
18,CALLER_18,130,Website not working,155,closed,13
19,CALLER_19,159,Shipping delay,0,closed,32
20,CALLER_20,131,Misplaced order,0,closed,44
21,CALLER_21,121,Unprofessional behavior,0,new,0
22,CALLER_22,121,Refund not processed,133,resolved,0
23,CALLER_23,177,Unprofessional behavior,158,new,0
24,CALLER_24,173,Shipping delay,137,resolved,0
25,CALLER_25,162,Package never arrived,0,closed,17
26,CALLER_26,124,Lack of follow-up,143,new,0
27,CALLER_27,168,Lack of follow-up,166,pending,0
28,CALLER_28,146,Billing discrepancy,133,pending,0
29,CALLER_29,151,Product not as described,173,closed,26
30,CALLER_30,172,Long wait time,133,closed,35
31,CALLER_31,161,Unsatisfactory resolution,179,closed,14
32,CALLER_32,157,Lack of follow-up,0,new,0
33,CALLER_33,138,Incorrect charges,0,resolved,0
34,CALLER_34,142,Product damaged during shipping,140,closed,27
35,CALLER_35,123,Unauthorized charges,0,pending,0
36,CALLER_36,180,Incorrect order,167,pending,0
37,CALLER_37,135,Incorrect charges,145,closed,26
38,CALLER_38,179,Unauthorized charges,143,pending,0
39,CALLER_39,129,Rude customer service representative,0,pending,0
40,CALLER_40,122,Rude customer service representative,146,new,0
41,CALLER_41,159,Poor communication,144,pending,0
42,CALLER_42,156,Website not working,0,pending,0
43,CALLER_43,144,Poor communication,161,pending,0
44,CALLER_44,171,Difficulty reaching customer support,177,resolved,0
45,CALLER_45,172,Lost package,0,closed,36
46,CALLER_46,156,Difficulty reaching customer support,141,closed,38
47,CALLER_47,172,Difficulty cancelling subscription,0,resolved,0
48,CALLER_48,135,Difficulty reaching customer support,0,pending,0
49,CALLER_49,171,Inadequate product instructions,0,closed,18
50,CALLER_50,160,Product not as described,172,pending,0
51,CALLER_51,180,Unsatisfactory resolution,0,closed,30
52,CALLER_52,160,Website not working,0,closed,41
53,CALLER_53,158,Slow response time,0,pending,0
54,CALLER_54,167,Long wait time,0,closed,31
55,CALLER_55,157,Shipping delay,0,closed,13
56,CALLER_56,133,Package never arrived,0,closed,29
57,CALLER_57,176,Incorrect order,132,resolved,0
58,CALLER_58,177,Package never arrived,0,closed,3
59,CALLER_59,132,Product damaged during shipping,124,closed,4
60,CALLER_60,163,Package delivered to wrong address,0,new,0
61,CALLER_61,177,Unauthorized charges,0,closed,41
62,CALLER_62,140,Website not working,0,pending,0
63,CALLER_63,152,Shipping delay,158,pending,0
64,CALLER_64,131,Billing discrepancy,0,resolved,0
65,CALLER_65,166,Billing discrepancy,0,closed,5
66,CALLER_66,154,Product damaged during shipping,139,pending,0
67,CALLER_67,124,Incorrect charges,0,new,0
68,CALLER_68,146,Unsatisfactory resolution,0,closed,28
69,CALLER_69,131,Package never arrived,156,resolved,0
70,CALLER_70,175,Poor communication,159,resolved,0
71,CALLER_71,132,Unhelpful support,160,closed,28
72,CALLER_72,128,Poor communication,171,pending,0
73,CALLER_73,150,Product not delivered,150,closed,37
74,CALLER_74,146,Billing discrepancy,0,pending,0
75,CALLER_75,124,Long wait time,173,new,0
76,CALLER_76,135,Product not delivered,0,closed,8
77,CALLER_77,121,Unhelpful support,0,new,0
78,CALLER_78,170,Unhelpful support,135,pending,0
79,CALLER_79,166,Misplaced order,133,pending,0
80,CALLER_80,149,Product damaged during shipping,0,resolved,0
81,CALLER_81,123,Lost package,170,new,0
82,CALLER_82,123,Package never arrived,161,pending,0
83,CALLER_83,137,Long wait time,0,resolved,0
84,CALLER_84,123,Unhelpful support,0,new,0
85,CALLER_85,170,Poor quality product,159,pending,0
86,CALLER_86,168,Inaccurate information provided,125,pending,0
87,CALLER_87,143,Misplaced order,140,resolved,0
88,CALLER_88,141,Unhelpful support,145,pending,0
89,CALLER_89,163,Slow response time,0,pending,0
90,CALLER_90,136,Website not working,0,pending,0
91,CALLER_91,176,Unsatisfactory resolution,0,pending,0
92,CALLER_92,139,Wrong item received,144,new,0
93,CALLER_93,123,Unprofessional behavior,0,new,0
94,CALLER_94,150,Wrong item received,0,closed,25
95,CALLER_95,147,Difficulty cancelling subscription,177,closed,37
96,CALLER_96,147,Lost package,130,pending,0
97,CALLER_97,146,Product not as described,0,resolved,0
98,CALLER_98,147,Unhelpful support,143,closed,29
99,CALLER_99,128,Unsatisfactory resolution,130,closed,17
100,CALLER_100,123,Lost package,0,closed,48
101,CALLER_101,134,Poor communication,0,new,0
102,CALLER_102,176,Inaccurate information provided,0,pending,0
103,CALLER_103,147,Refund not processed,129,new,0
104,CALLER_104,132,Incorrect order,0,pending,0
105,CALLER_105,160,Slow response time,0,closed,43
106,CALLER_106,131,Product not as described,162,pending,0
107,CALLER_107,143,Product not as described,0,new,0
108,CALLER_108,158,Product damaged during shipping,148,closed,11
109,CALLER_109,158,Product not as described,175,closed,14
110,CALLER_110,146,Inaccurate information provided,0,closed,30
111,CALLER_111,122,Product damaged during shipping,0,pending,0
112,CALLER_112,144,Rude customer service representative,163,new,0
113,CALLER_113,147,Inaccurate information provided,132,pending,0
114,CALLER_114,179,Poor communication,137,pending,0
115,CALLER_115,158,Slow response time,152,pending,0
116,CALLER_116,173,Difficulty getting a refund,148,pending,0
117,CALLER_117,148,Shipping delay,147,resolved,0
118,CALLER_118,178,Difficulty cancelling subscription,0,resolved,0
119,CALLER_119,176,Slow response time,138,closed,26
